
2024/09/26 (09:25:25) | ===> btop++ v.1.4.0
2024/09/26 (09:25:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:45:35) | ===> btop++ v.1.4.0
2024/10/04 (14:45:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:45:42) | ===> btop++ v.1.4.0
2024/10/04 (14:45:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (20:43:57) | ===> btop++ v.1.4.0
2024/10/12 (20:43:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (10:35:47) | ===> btop++ v.1.4.0
2024/10/15 (10:35:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (09:27:44) | ===> btop++ v.1.4.0
2024/10/25 (09:27:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (22:24:12) | ===> btop++ v.1.4.0
2024/10/29 (22:24:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (22:24:17) | ===> btop++ v.1.4.0
2024/10/29 (22:24:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (22:32:35) | ===> btop++ v.1.4.0
2024/10/29 (22:32:35) | WARNING: Intel GPU: Failed to initialize PMU
